[67 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 38 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[68 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 37 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[69 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 37 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[70 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 37 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[71 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 37 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[72 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 36 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[73 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 35 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[74 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 35 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[75 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 35 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[76 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 36 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[77 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 36 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[78 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 36 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[79 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 35 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[80 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 36 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[81 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 35 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[82 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 35 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[83 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 35 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[84 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 35 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[85 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 34 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[86 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 34 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[87 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 35 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
[88 s] Phase: Ground, Alt: 7 ft, Speed: 47 kt (GS: 35 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4432.2 gal, Dist: 1311 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Delhi (DEL)]
