[41 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 104 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[42 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 104 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[43 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 104 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[44 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 104 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[45 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[46 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[47 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[48 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[49 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[50 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 106 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[51 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[52 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[53 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[54 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[55 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 108 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[56 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 108 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[57 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 108 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[58 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 108 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[59 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[60 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[61 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[62 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[63 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 108 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[64 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 108 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[65 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 109 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[66 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 109 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
